Vulnerabilidad_numero,U_MPIO,U_DPTO,Nom_DPTO,CASA,APTO,TIP_CUARTO,VIV_TRAD_INDIG,VIV_TRAD_ETNICA,OTRA_VIV,1-DOR,2-DOR,3-DOR,4-DOR,Mas de 4 dor,No informa Num_dormit,0-FALL,1-FALL,2-FALL,Mas de 2 fall,1-PER,2-PER,3-PER,4-PER,Mas de 4 per,Fall_Hombre,Fall_Mujer,No informa sexo fall,No informa edad fall,Fall_P_Infancia,Fall_Infancia,Fall_Juv-Adoles,Fall_Adultez,Fall_Per_Mayor,Per_Hombre,Per_Mujer,Per_edad_0 a 4,Per_edad_5 a 9,Per_edad_10 a 14,Per_edad_15 a 19,Per_edad_20 a 24,Per_edad_25 a 29,Per_edad_30 a 34,Per_edad_35 a 39,Per_edad_40 a 44,Per_edad_45 a 49,Per_edad_50 a 54,Per_edad_55 a 59,Per_edad_Mas de 60,Indigena,Gitano o Rrom,Raizal del Archi SAPSC,Palenquero de San Basilio,"Negro, mulato, afrodescendiente, afrocolombiano",Ningun grupo etnico,No informa grupo etnico,Habla lengua Nativa,No habla lengua nativa,No informa lengua nativa,No aplica lengua nativa,Habla otra lengua,No habla otra lengua,No informa otra lengua,No aplica otra lengua,CSS muy bueno,CSS bueno,CSS malo,CSS muy malo,CSS No Aplica,Lee_y_Escribe,NoLee_y_Escribe,No_informa_Alfabeta,No Aplica P_ALFABETA,Preescolar,Primaria,Secundaria,Media_Academica,Media_tecnica,Normalista,Tecnica_Profesional,Universitario,Posgrado,Ninguno,No_inf_escolaridad,No Aplica P_NIVEL_ANOSR,No informa ingresos,Recibe ingresos,No recibe ingresos,No Aplica ingresos
2.0,1,5,Antioquia,355252,514187,22005,70,94,1313,205922,300843,233206,56595,14566,5131,805697,10080,364,122,167099,194750,199197,147613,107604,6353.0,5021.0,8.0,13.0,940.0,74.0,712.0,2341.0,7302.0,1115273,1257057,122409,130298,153496,184184,226773,222810,194886,180924,146411,145382,157533,142210,365014,2071,48,314,63,59064,2279605,31165,879,1507,24,2369920,345,2025,40,2369920,42383,111238,22462,8515,2187732,2143618,75092,31211,122409,39719,520432,361940,585755,31199,12691,245278,280569,82299,54515,35524,122409,38570,1155530,914201,264029
1.0,2,5,Antioquia,7891,522,92,1,0,7,2292,2451,1035,199,47,6,5924,102,4,0,1372,1321,1366,1099,872,60.0,50.0,0.0,0.0,0.0,0.0,2.0,22.0,86.0,9139,8460,923,1135,1490,1606,1232,1084,1046,1256,1178,1079,1134,1102,3334,2,0,0,0,62,17428,107,2,0,0,17597,0,2,0,17597,381,1179,146,25,15868,14815,1740,121,923,317,9064,2783,1931,195,127,433,304,149,1230,143,923,235,7220,8060,2084
1.0,4,5,Antioquia,883,118,54,0,0,2,253,356,141,17,10,0,766,11,0,0,215,158,165,135,104,9.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,1171,988,131,135,169,212,176,125,153,154,141,125,153,126,359,0,1,0,0,43,2091,24,0,1,0,2158,0,1,0,2158,51,64,4,4,2036,1860,145,23,131,31,884,337,378,60,24,107,58,23,99,27,131,32,819,1024,284
1.0,21,5,Antioquia,1431,690,33,0,0,3,476,555,282,52,16,5,1377,9,0,0,350,317,310,233,176,4.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,1912,1927,253,283,321,322,263,256,261,291,195,220,256,236,682,0,0,0,0,12,3797,30,0,0,0,3839,0,0,0,3839,37,93,5,3,3701,3210,336,40,253,117,1771,573,486,62,14,214,112,28,166,43,253,66,1456,1768,549
1.0,30,5,Antioquia,7892,3572,167,1,0,15,2749,3737,1910,376,113,8,8705,171,14,3,1497,2090,2380,1698,1228,124.0,85.0,0.0,0.0,6.0,0.0,18.0,62.0,123.0,13242,13579,1455,1587,1996,2290,2321,2286,1892,2025,1572,1793,1904,1700,4000,9,2,0,3,125,26608,74,1,13,0,26807,0,14,0,26807,558,1488,249,76,24450,23215,2061,90,1455,451,9529,5155,5653,243,226,1600,792,189,1400,128,1455,235,11472,11939,3175
1.0,31,5,Antioquia,6702,1532,218,0,1,183,2251,2366,1635,435,109,9,6693,107,4,1,1581,1407,1540,1185,1092,79.0,39.0,0.0,0.0,14.0,0.0,12.0,36.0,56.0,10177,10088,1317,1662,1980,2110,1721,1631,1464,1407,1102,1194,1214,954,2509,2,1,0,0,102,20043,117,1,2,0,20262,0,3,0,20262,192,1534,183,30,18326,16752,2068,128,1317,383,8338,3519,3062,129,51,886,480,137,1785,178,1317,279,7894,8989,3103
1.0,34,5,Antioquia,9841,4328,337,38,0,29,3545,5132,2944,545,90,7,12034,220,8,1,2297,2791,2960,2314,1901,159.0,80.0,0.0,0.0,9.0,2.0,23.0,55.0,150.0,19777,18367,2207,2613,3006,3457,3321,2873,2630,2689,2508,2396,2345,2173,5926,248,0,2,1,225,37145,523,183,53,0,37908,48,188,0,37908,374,2188,456,112,35014,31404,3845,688,2207,595,16003,6255,6223,430,76,1300,1280,273,2873,629,2207,561,15208,16462,5913
1.0,36,5,Antioquia,1886,430,17,0,0,4,648,737,272,55,9,2,1656,61,6,0,355,426,419,278,245,44.0,29.0,0.0,0.0,2.0,0.0,2.0,19.0,50.0,2538,2489,280,333,403,465,396,369,343,332,308,310,315,334,839,3,0,0,0,27,4987,10,3,0,0,5024,3,0,0,5024,125,837,89,22,3954,4250,481,16,280,140,2135,881,799,15,15,283,81,18,357,23,280,34,2143,2223,627
1.0,38,5,Antioquia,3826,281,50,0,0,6,1216,1434,533,107,18,8,3233,80,3,0,538,705,821,635,617,52.0,34.0,0.0,0.0,4.0,1.0,7.0,21.0,53.0,5327,5173,700,806,1019,1098,891,803,741,730,612,575,546,567,1412,0,4,0,4,49,10419,24,7,1,0,10492,0,8,0,10492,91,727,120,22,9540,8435,1332,33,700,223,4898,1643,1384,159,27,264,140,32,950,80,700,69,3656,5269,1506
5.0,40,5,Antioquia,4915,1163,458,10,1,5,1693,1852,931,191,43,33,4659,80,3,1,1079,918,1091,795,860,61.0,28.0,0.0,0.0,11.0,0.0,13.0,22.0,43.0,7504,6998,1118,1408,1594,1485,1336,1325,1130,951,793,776,693,546,1347,167,0,0,0,244,14002,89,30,135,2,14335,18,147,2,14335,74,905,119,23,13381,11725,1577,82,1118,451,6463,2242,1921,312,28,410,213,65,1162,117,1118,161,5136,6654,2551
