CodDepartamento,CodCiudad,Departamento,Ciudad,Ano,Trimestre,PIB
44,001,Guajira,Riohacha,2021,1,1851
54,001,Norte de Santander,Cucuta,2021,1,6790
27,001,Choco,Quibdo,2021,1,842
73,001,Tolima,Ibague,2021,1,7604
41,001,Huila,Neiva,2021,1,4616
20,001,Cesar,Valledupar,2021,1,6101
11,001,Bogota D.C,Bogota D.C,2021,1,237244
15,001,Boyaca,Tunja,2021,1,3393
50,001,Meta,Villavicencio,2021,1,14762
19,001,Cauca,Popayan,2021,1,3495
17,001,Caldas,Manizales,2021,1,6398
76,001,Valle del Cauca,Cali,2021,1,44667
63,001,Quindio,Armenia,2021,1,4027
05,001,Antioquia,Medellin,2021,1,52347
23,001,Cordoba,Monteria,2021,1,4219
18,001,Caqueta,Florencia,2021,1,1532
47,001,Magdalena,Santa Marta,2021,1,4572
66,001,Risaralda,Pereira,2021,1,7271
70,001,Sucre,Sincelejo,2021,1,2374
52,001,Narino,Pasto,2021,1,3304
68,001,Santander,Bucaramanga,2021,1,15065
08,001,Atlantico,Barranquilla,2021,1,19024
13,001,Bolivar,Cartagena,2021,1,15383
88,001,Archipielago de San Andres,San Andres,2021,1,1300
44,001,Guajira,Riohacha,2021,2,1851
54,001,Norte de Santander,Cucuta,2021,2,6790
27,001,Choco,Quibdo,2021,2,842
73,001,Tolima,Ibague,2021,2,7604
41,001,Huila,Neiva,2021,2,4616
20,001,Cesar,Valledupar,2021,2,6101
11,001,Bogota D.C,Bogota D.C,2021,2,237244
15,001,Boyaca,Tunja,2021,2,3393
50,001,Meta,Villavicencio,2021,2,14762
19,001,Cauca,Popayan,2021,2,3495
17,001,Caldas,Manizales,2021,2,6398
76,001,Valle del Cauca,Cali,2021,2,44667
63,001,Quindio,Armenia,2021,2,4027
05,001,Antioquia,Medellin,2021,2,52347
23,001,Cordoba,Monteria,2021,2,4219
18,001,Caqueta,Florencia,2021,2,1532
47,001,Magdalena,Santa Marta,2021,2,4572
66,001,Risaralda,Pereira,2021,2,7271
70,001,Sucre,Sincelejo,2021,2,2374
52,001,Narino,Pasto,2021,2,3304
68,001,Santander,Bucaramanga,2021,2,15065
08,001,Atlantico,Barranquilla,2021,2,19024
13,001,Bolivar,Cartagena,2021,2,15383
88,001,Archipielago de San Andres,San Andres,2021,2,1300
44,001,Guajira,Riohacha,2021,3,1851
54,001,Norte de Santander,Cucuta,2021,3,6790
27,001,Choco,Quibdo,2021,3,842
73,001,Tolima,Ibague,2021,3,7604
41,001,Huila,Neiva,2021,3,4616
20,001,Cesar,Valledupar,2021,3,6101
11,001,Bogota D.C,Bogota D.C,2021,3,237244
15,001,Boyaca,Tunja,2021,3,3393
50,001,Meta,Villavicencio,2021,3,14762
19,001,Cauca,Popayan,2021,3,3495
17,001,Caldas,Manizales,2021,3,6398
76,001,Valle del Cauca,Cali,2021,3,44667
63,001,Quindio,Armenia,2021,3,4027
05,001,Antioquia,Medellin,2021,3,52347
23,001,Cordoba,Monteria,2021,3,4219
18,001,Caqueta,Florencia,2021,3,1532
47,001,Magdalena,Santa Marta,2021,3,4572
66,001,Risaralda,Pereira,2021,3,7271
70,001,Sucre,Sincelejo,2021,3,2374
52,001,Narino,Pasto,2021,3,3304
68,001,Santander,Bucaramanga,2021,3,15065
08,001,Atlantico,Barranquilla,2021,3,19024
13,001,Bolivar,Cartagena,2021,3,15383
88,001,Archipielago de San Andres,San Andres,2021,3,1300
44,001,Guajira,Riohacha,2021,4,1851
54,001,Norte de Santander,Cucuta,2021,4,6790
27,001,Choco,Quibdo,2021,4,842
73,001,Tolima,Ibague,2021,4,7604
41,001,Huila,Neiva,2021,4,4616
20,001,Cesar,Valledupar,2021,4,6101
11,001,Bogota D.C,Bogota D.C,2021,4,237244
15,001,Boyaca,Tunja,2021,4,3393
50,001,Meta,Villavicencio,2021,4,14762
19,001,Cauca,Popayan,2021,4,3495
17,001,Caldas,Manizales,2021,4,6398
76,001,Valle del Cauca,Cali,2021,4,44667
63,001,Quindio,Armenia,2021,4,4027
05,001,Antioquia,Medellin,2021,4,52347
23,001,Cordoba,Monteria,2021,4,4219
18,001,Caqueta,Florencia,2021,4,1532
47,001,Magdalena,Santa Marta,2021,4,4572
66,001,Risaralda,Pereira,2021,4,7271
70,001,Sucre,Sincelejo,2021,4,2374
52,001,Narino,Pasto,2021,4,3304
68,001,Santander,Bucaramanga,2021,4,15065
08,001,Atlantico,Barranquilla,2021,4,19024
13,001,Bolivar,Cartagena,2021,4,15383
88,001,Archipielago de San Andres,San Andres,2021,4,1300
44,001,Guajira,Riohacha,2020,1,1397
54,001,Norte de Santander,Cucuta,2020,1,6141
27,001,Choco,Quibdo,2020,1,784
73,001,Tolima,Ibague,2020,1,6961
41,001,Huila,Neiva,2020,1,4267
20,001,Cesar,Valledupar,2020,1,5865
11,001,Bogota D.C,Bogota D.C,2020,1,214485
15,001,Boyaca,Tunja,2020,1,3132
50,001,Meta,Villavicencio,2020,1,14411
19,001,Cauca,Popayan,2020,1,3192
17,001,Caldas,Manizales,2020,1,5771
76,001,Valle del Cauca,Cali,2020,1,40674
63,001,Quindio,Armenia,2020,1,3594
05,001,Antioquia,Medellin,2020,1,46018
23,001,Cordoba,Monteria,2020,1,3845
18,001,Caqueta,Florencia,2020,1,1427
47,001,Magdalena,Santa Marta,2020,1,4088
66,001,Risaralda,Pereira,2020,1,6545
70,001,Sucre,Sincelejo,2020,1,2145
52,001,Narino,Pasto,2020,1,3015
