DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Total
05,Antioquia,05001,Medellín,2018,Cabecera Municipal,2382399
05,Antioquia,05001,Medellín,2018,Centros Poblados y Rural Disperso,44730
05,Antioquia,05001,Medellín,2018,Total,2427129
05,Antioquia,05001,Medellín,2019,Cabecera Municipal,2439470
05,Antioquia,05001,Medellín,2019,Centros Poblados y Rural Disperso,44075
05,Antioquia,05001,Medellín,2019,Total,2483545
05,Antioquia,05001,Medellín,2020,Cabecera Municipal,2490164
05,Antioquia,05001,Medellín,2020,Centros Poblados y Rural Disperso,43260
05,Antioquia,05001,Medellín,2020,Total,2533424
05,Antioquia,05001,Medellín,2021,Cabecera Municipal,2530461
05,Antioquia,05001,Medellín,2021,Centros Poblados y Rural Disperso,42759
05,Antioquia,05001,Medellín,2021,Total,2573220
05,Antioquia,05001,Medellín,2022,Cabecera Municipal,2570327
05,Antioquia,05001,Medellín,2022,Centros Poblados y Rural Disperso,42631
05,Antioquia,05001,Medellín,2022,Total,2612958
05,Antioquia,05001,Medellín,2023,Cabecera Municipal,2611104
05,Antioquia,05001,Medellín,2023,Centros Poblados y Rural Disperso,42625
05,Antioquia,05001,Medellín,2023,Total,2653729
05,Antioquia,05001,Medellín,2024,Cabecera Municipal,2657772
05,Antioquia,05001,Medellín,2024,Centros Poblados y Rural Disperso,42671
05,Antioquia,05001,Medellín,2024,Total,2700443
05,Antioquia,05001,Medellín,2025,Cabecera Municipal,2702693
05,Antioquia,05001,Medellín,2025,Centros Poblados y Rural Disperso,42771
05,Antioquia,05001,Medellín,2025,Total,2745464
05,Antioquia,05001,Medellín,2026,Cabecera Municipal,2744969
05,Antioquia,05001,Medellín,2026,Centros Poblados y Rural Disperso,42943
05,Antioquia,05001,Medellín,2026,Total,2787912
05,Antioquia,05001,Medellín,2027,Cabecera Municipal,2784305
05,Antioquia,05001,Medellín,2027,Centros Poblados y Rural Disperso,43180
05,Antioquia,05001,Medellín,2027,Total,2827485
05,Antioquia,05001,Medellín,2028,Cabecera Municipal,2820664
