CodDepartamento,CodCiudad,Departamento,Ciudad,Ano,Trimestre,PorcentajeDesempleo
44,001,Guajira,Riohacha,2021,1,23.2
54,001,Norte de Santander,Cucuta,2021,1,22.5
27,001,Choco,Quibdo,2021,1,21.9
73,001,Tolima,Ibague,2021,1,21.7
41,001,Huila,Neiva,2021,1,20.6
20,001,Cesar,Valledupar,2021,1,20.4
11,001,Bogota D.C,Bogota D.C,2021,1,20.1
15,001,Boyaca,Tunja,2021,1,19.8
50,001,Meta,Villavicencio,2021,1,19.1
19,001,Cauca,Popayan,2021,1,18.9
17,001,Caldas,Manizales,2021,1,18.9
76,001,Valle del Cauca,Cali,2021,1,18.7
63,001,Quindio,Armenia,2021,1,18.6
05,001,Antioquia,Medellin,2021,1,17.9
23,001,Cordoba,Monteria,2021,1,17.1
18,001,Caqueta,Florencia,2021,1,16.8
47,001,Magdalena,Santa Marta,2021,1,15.6
66,001,Risaralda,Pereira,2021,1,15.5
70,001,Sucre,Sincelejo,2021,1,15.4
52,001,Narino,Pasto,2021,1,15.1
68,001,Santander,Bucaramanga,2021,1,15.0
08,001,Atlantico,Barranquilla,2021,1,11.6
13,001,Bolivar,Cartagena,2021,1,11.5
88,001,Archipielago de San Andres,San Andres,2021,1,16.0
44,001,Guajira,Riohacha,2021,2,18.6
54,001,Norte de Santander,Cucuta,2021,2,20.5
27,001,Choco,Quibdo,2021,2,21.9
73,001,Tolima,Ibague,2021,2,19.8
41,001,Huila,Neiva,2021,2,19.5
20,001,Cesar,Valledupar,2021,2,19.1
11,001,Bogota D.C,Bogota D.C,2021,2,18.1
15,001,Boyaca,Tunja,2021,2,18.6
50,001,Meta,Villavicencio,2021,2,16.6
19,001,Cauca,Popayan,2021,2,19.8
17,001,Caldas,Manizales,2021,2,16.4
76,001,Valle del Cauca,Cali,2021,2,21.4
63,001,Quindio,Armenia,2021,2,20.1
05,001,Antioquia,Medellin,2021,2,16.1
23,001,Cordoba,Monteria,2021,2,15.6
18,001,Caqueta,Florencia,2021,2,19.4
47,001,Magdalena,Santa Marta,2021,2,16.1
66,001,Risaralda,Pereira,2021,2,16.4
70,001,Sucre,Sincelejo,2021,2,16.1
52,001,Narino,Pasto,2021,2,14.4
68,001,Santander,Bucaramanga,2021,2,13.8
08,001,Atlantico,Barranquilla,2021,2,11.2
13,001,Bolivar,Cartagena,2021,2,11.0
88,001,Archipielago de San Andres,San Andres,2021,2,16.0
44,001,Guajira,Riohacha,2021,3,19.1
54,001,Norte de Santander,Cucuta,2021,3,17.9
27,001,Choco,Quibdo,2021,3,18.6
73,001,Tolima,Ibague,2021,3,17.2
41,001,Huila,Neiva,2021,3,17.0
20,001,Cesar,Valledupar,2021,3,18.0
11,001,Bogota D.C,Bogota D.C,2021,3,14.4
15,001,Boyaca,Tunja,2021,3,16.0
50,001,Meta,Villavicencio,2021,3,14.7
19,001,Cauca,Popayan,2021,3,15.8
17,001,Caldas,Manizales,2021,3,12.2
76,001,Valle del Cauca,Cali,2021,3,15.1
63,001,Quindio,Armenia,2021,3,16.6
05,001,Antioquia,Medellin,2021,3,15.1
23,001,Cordoba,Monteria,2021,3,17.1
18,001,Caqueta,Florencia,2021,3,19.6
47,001,Magdalena,Santa Marta,2021,3,14.2
66,001,Risaralda,Pereira,2021,3,14.9
70,001,Sucre,Sincelejo,2021,3,14.0
52,001,Narino,Pasto,2021,3,13.5
68,001,Santander,Bucaramanga,2021,3,10.8
08,001,Atlantico,Barranquilla,2021,3,10.2
13,001,Bolivar,Cartagena,2021,3,8.9
