CodDepartamento,CodCiudad,Departamento,Ciudad,Ano,Trimestre,PIB
44,001,Guajira,Riohacha,2020,1,1397
54,001,Norte de Santander,Cucuta,2020,1,6141
27,001,Choco,Quibdo,2020,1,784
73,001,Tolima,Ibague,2020,1,6961
41,001,Huila,Neiva,2020,1,4267
20,001,Cesar,Valledupar,2020,1,5865
11,001,Bogota D.C,Bogota D.C,2020,1,214485
15,001,Boyaca,Tunja,2020,1,3132
50,001,Meta,Villavicencio,2020,1,14411
19,001,Cauca,Popayan,2020,1,3192
17,001,Caldas,Manizales,2020,1,5771
76,001,Valle del Cauca,Cali,2020,1,40674
63,001,Quindio,Armenia,2020,1,3594
05,001,Antioquia,Medellin,2020,1,46018
23,001,Cordoba,Monteria,2020,1,3845
18,001,Caqueta,Florencia,2020,1,1427
47,001,Magdalena,Santa Marta,2020,1,4088
66,001,Risaralda,Pereira,2020,1,6545
70,001,Sucre,Sincelejo,2020,1,2145
52,001,Narino,Pasto,2020,1,3015
68,001,Santander,Bucaramanga,2020,1,13763
08,001,Atlantico,Barranquilla,2020,1,16933
13,001,Bolivar,Cartagena,2020,1,13501
88,001,Archipielago de San Andres,San Andres,2020,1,1027
44,001,Guajira,Riohacha,2020,2,1397
54,001,Norte de Santander,Cucuta,2020,2,6141
27,001,Choco,Quibdo,2020,2,784
73,001,Tolima,Ibague,2020,2,6961
41,001,Huila,Neiva,2020,2,4267
20,001,Cesar,Valledupar,2020,2,5865
11,001,Bogota D.C,Bogota D.C,2020,2,214485
15,001,Boyaca,Tunja,2020,2,3132
50,001,Meta,Villavicencio,2020,2,14411
19,001,Cauca,Popayan,2020,2,3192
17,001,Caldas,Manizales,2020,2,5771
76,001,Valle del Cauca,Cali,2020,2,40674
63,001,Quindio,Armenia,2020,2,3594
05,001,Antioquia,Medellin,2020,2,46018
23,001,Cordoba,Monteria,2020,2,3845
18,001,Caqueta,Florencia,2020,2,1427
47,001,Magdalena,Santa Marta,2020,2,4088
66,001,Risaralda,Pereira,2020,2,6545
70,001,Sucre,Sincelejo,2020,2,2145
52,001,Narino,Pasto,2020,2,3015
68,001,Santander,Bucaramanga,2020,2,13763
