Temperatura,Trimestre,Ano,Ciudad
25.47732135076253,1,2019,Armenia
25.305828042328052,2,2019,Armenia
27.58061452991453,3,2019,Armenia
25.338459595959602,4,2019,Armenia
26.535897115384607,1,2020,Armenia
24.850904761904758,2,2020,Armenia
25.573509259259247,3,2020,Armenia
24.78470833333333,4,2020,Armenia
24.866711111111112,1,2021,Armenia
25.038733333333337,2,2021,Armenia
25.49267803030303,3,2021,Armenia
24.287222222222233,4,2021,Armenia
34.296766833890736,1,2019,Barranquilla
33.46857142857143,2,2019,Barranquilla
32.86704473304473,3,2019,Barranquilla
31.836689133089127,4,2019,Barranquilla
34.54973515151516,1,2020,Barranquilla
35.43798518518519,2,2020,Barranquilla
31.819404040404038,3,2020,Barranquilla
29.72776816239316,4,2020,Barranquilla
33.771901035196684,1,2021,Barranquilla
32.818194612794606,2,2021,Barranquilla
30.70762777777779,3,2021,Barranquilla
30.61817936507937,4,2021,Barranquilla
19.857303623188407,1,2019,Bogota
17.362794566544565,2,2019,Bogota
16.392629122103386,3,2019,Bogota
18.032462037037035,4,2019,Bogota
22.7237825311943,1,2020,Bogota
17.397859307359308,2,2020,Bogota
17.546153216374268,3,2020,Bogota
19.471980303030303,4,2020,Bogota
19.989400000000003,1,2021,Bogota
16.620688627162313,2,2021,Bogota
16.012739804639804,3,2021,Bogota
19.065336261777446,4,2021,Bogota
28.69350690730838,1,2019,Bucaramanga
26.79148333333333,2,2019,Bucaramanga
28.94861356421357,3,2019,Bucaramanga
27.53108484848485,4,2019,Bucaramanga
29.02303927875243,1,2020,Bucaramanga
28.52665584415585,2,2020,Bucaramanga
28.984,3,2020,Bucaramanga
28.06514772727273,4,2020,Bucaramanga
28.53555833333333,1,2021,Bucaramanga
28.16242857142857,2,2021,Bucaramanga
28.15187925407925,3,2021,Bucaramanga
27.403387464387464,4,2021,Bucaramanga
26.50036772486773,1,2019,Cali
24.30225,2,2019,Cali
26.021040791316533,3,2019,Cali
25.544155122655123,4,2019,Cali
25.110679894179892,1,2020,Cali
25.059454545454546,2,2020,Cali
25.384170995671,3,2020,Cali
24.856122222222233,4,2020,Cali
25.34220138888889,1,2021,Cali
23.945299145299145,2,2021,Cali
24.91719660894661,3,2021,Cali
24.78613888888889,4,2021,Cali
32.35982887402453,1,2019,Cartagena
30.076698989898983,2,2019,Cartagena
29.88127668128655,3,2019,Cartagena
26.717944444444445,4,2019,Cartagena
33.089806008806015,1,2020,Cartagena
31.12256182336182,2,2020,Cartagena
26.79293772893773,3,2020,Cartagena
26.854935960281548,4,2020,Cartagena
31.63010606060605,1,2021,Cartagena
29.45182121212121,2,2021,Cartagena
26.74420555555556,3,2021,Cartagena
26.58301182844933,4,2021,Cartagena
27.6405406162465,1,2019,Cucuta
27.150055555555554,2,2019,Cucuta
30.335811111111113,3,2019,Cucuta
26.779788888888888,4,2019,Cucuta
29.00377222222223,1,2020,Cucuta
29.662295206971677,2,2020,Cucuta
28.41840998217469,3,2020,Cucuta
26.45443835470085,4,2020,Cucuta
27.472339682539683,1,2021,Cucuta
27.248579365079365,2,2021,Cucuta
27.848263772175546,3,2021,Cucuta
26.59233866133866,4,2021,Cucuta
22.62548268398268,1,2019,Florencia
22.7659595959596,2,2019,Florencia
22.19356232193732,3,2019,Florencia
23.619050925925922,4,2019,Florencia
24.159668590668588,1,2020,Florencia
21.766429653679648,2,2020,Florencia
22.12906239316239,3,2020,Florencia
23.97718055555556,4,2020,Florencia
22.53538888888889,1,2021,Florencia
21.946007407407407,2,2021,Florencia
23.57361667961668,3,2021,Florencia
24.218768055555557,4,2021,Florencia
22.388790476190486,1,2019,Ibague
21.157327777777773,2,2019,Ibague
25.34504858299595,3,2019,Ibague
21.69103333333333,4,2019,Ibague
21.879136574074078,1,2020,Ibague
22.786248717948713,2,2020,Ibague
22.522464602683183,3,2020,Ibague
20.783885042735047,4,2020,Ibague
20.30087272727273,1,2021,Ibague
20.46897435897436,2,2021,Ibague
21.80756646825397,3,2021,Ibague
19.49695833333333,4,2021,Ibague
23.9225037037037,1,2019,Manizales
22.784988603988605,2,2019,Manizales
25.19633823529412,3,2019,Manizales
23.02556862745098,4,2019,Manizales
23.758845658263308,1,2020,Manizales
23.690222222222214,2,2020,Manizales
22.552854166666666,3,2020,Manizales
22.61418215811965,4,2020,Manizales
22.798166666666663,1,2021,Manizales
22.82374810606061,2,2021,Manizales
22.844285714285718,3,2021,Manizales
22.115867724867726,4,2021,Manizales
22.628147893772894,1,2019,Medellin
