CodDepartamento,CodCiudad,Departamento,Ciudad,Ano,Trimestre,PorcentajeVacunacion
44,001,Guajira,Riohacha,2020,1,0
54,001,Norte de Santander,Cucuta,2020,1,0
27,001,Choco,Quibdo,2020,1,0
73,001,Tolima,Ibague,2020,1,0
41,001,Huila,Neiva,2020,1,0
20,001,Cesar,Valledupar,2020,1,0
11,001,Bogota D.C,Bogota D.C,2020,1,0
15,001,Boyaca,Tunja,2020,1,0
50,001,Meta,Villavicencio,2020,1,0
19,001,Cauca,Popayan,2020,1,0
17,001,Caldas,Manizales,2020,1,0
76,001,Valle del Cauca,Cali,2020,1,0
63,001,Quindio,Armenia,2020,1,0
05,001,Antioquia,Medellin,2020,1,0
23,001,Cordoba,Monteria,2020,1,0
18,001,Caqueta,Florencia,2020,1,0
47,001,Magdalena,Santa Marta,2020,1,0
66,001,Risaralda,Pereira,2020,1,0
70,001,Sucre,Sincelejo,2020,1,0
52,001,Narino,Pasto,2020,1,0
68,001,Santander,Bucaramanga,2020,1,0
08,001,Atlantico,Barranquilla,2020,1,0
13,001,Bolivar,Cartagena,2020,1,0
88,001,Archipielago de San Andres,San Andres,2020,1,0
44,001,Guajira,Riohacha,2020,2,0
54,001,Norte de Santander,Cucuta,2020,2,0
27,001,Choco,Quibdo,2020,2,0
73,001,Tolima,Ibague,2020,2,0
41,001,Huila,Neiva,2020,2,0
20,001,Cesar,Valledupar,2020,2,0
11,001,Bogota D.C,Bogota D.C,2020,2,0
15,001,Boyaca,Tunja,2020,2,0
50,001,Meta,Villavicencio,2020,2,0
19,001,Cauca,Popayan,2020,2,0
17,001,Caldas,Manizales,2020,2,0
76,001,Valle del Cauca,Cali,2020,2,0
63,001,Quindio,Armenia,2020,2,0
05,001,Antioquia,Medellin,2020,2,0
23,001,Cordoba,Monteria,2020,2,0
18,001,Caqueta,Florencia,2020,2,0
47,001,Magdalena,Santa Marta,2020,2,0
66,001,Risaralda,Pereira,2020,2,0
70,001,Sucre,Sincelejo,2020,2,0
52,001,Narino,Pasto,2020,2,0
68,001,Santander,Bucaramanga,2020,2,0
08,001,Atlantico,Barranquilla,2020,2,0
13,001,Bolivar,Cartagena,2020,2,0
88,001,Archipielago de San Andres,San Andres,2020,2,0
44,001,Guajira,Riohacha,2020,3,0
54,001,Norte de Santander,Cucuta,2020,3,0
27,001,Choco,Quibdo,2020,3,0
73,001,Tolima,Ibague,2020,3,0
41,001,Huila,Neiva,2020,3,0
20,001,Cesar,Valledupar,2020,3,0
11,001,Bogota D.C,Bogota D.C,2020,3,0
15,001,Boyaca,Tunja,2020,3,0
50,001,Meta,Villavicencio,2020,3,0
19,001,Cauca,Popayan,2020,3,0
17,001,Caldas,Manizales,2020,3,0
76,001,Valle del Cauca,Cali,2020,3,0
63,001,Quindio,Armenia,2020,3,0
05,001,Antioquia,Medellin,2020,3,0
23,001,Cordoba,Monteria,2020,3,0
18,001,Caqueta,Florencia,2020,3,0
47,001,Magdalena,Santa Marta,2020,3,0
66,001,Risaralda,Pereira,2020,3,0
70,001,Sucre,Sincelejo,2020,3,0
52,001,Narino,Pasto,2020,3,0
68,001,Santander,Bucaramanga,2020,3,0
08,001,Atlantico,Barranquilla,2020,3,0
13,001,Bolivar,Cartagena,2020,3,0
88,001,Archipielago de San Andres,San Andres,2020,3,0
44,001,Guajira,Riohacha,2020,4,0
54,001,Norte de Santander,Cucuta,2020,4,0
27,001,Choco,Quibdo,2020,4,0
73,001,Tolima,Ibague,2020,4,0
41,001,Huila,Neiva,2020,4,0
20,001,Cesar,Valledupar,2020,4,0
11,001,Bogota D.C,Bogota D.C,2020,4,0
15,001,Boyaca,Tunja,2020,4,0
50,001,Meta,Villavicencio,2020,4,0
19,001,Cauca,Popayan,2020,4,0
17,001,Caldas,Manizales,2020,4,0
76,001,Valle del Cauca,Cali,2020,4,0
63,001,Quindio,Armenia,2020,4,0
05,001,Antioquia,Medellin,2020,4,0
23,001,Cordoba,Monteria,2020,4,0
18,001,Caqueta,Florencia,2020,4,0
47,001,Magdalena,Santa Marta,2020,4,0
66,001,Risaralda,Pereira,2020,4,0
70,001,Sucre,Sincelejo,2020,4,0
52,001,Narino,Pasto,2020,4,0
68,001,Santander,Bucaramanga,2020,4,0
08,001,Atlantico,Barranquilla,2020,4,0
13,001,Bolivar,Cartagena,2020,4,0
88,001,Archipielago de San Andres,San Andres,2020,4,0
44,001,Guajira,Riohacha,2021,1,0.49
54,001,Norte de Santander,Cucuta,2021,1,0.68
27,001,Choco,Quibdo,2021,1,0.60
73,001,Tolima,Ibague,2021,1,0.82
41,001,Huila,Neiva,2021,1,0.92
20,001,Cesar,Valledupar,2021,1,0.61
11,001,Bogota D.C,Bogota D.C,2021,1,0.97
15,001,Boyaca,Tunja,2021,1,1.49
50,001,Meta,Villavicencio,2021,1,0.56
19,001,Cauca,Popayan,2021,1,0.92
17,001,Caldas,Manizales,2021,1,0.74
76,001,Valle del Cauca,Cali,2021,1,0.93
63,001,Quindio,Armenia,2021,1,0.77
05,001,Antioquia,Medellin,2021,1,0.66
23,001,Cordoba,Monteria,2021,1,0.76
18,001,Caqueta,Florencia,2021,1,0.62
47,001,Magdalena,Santa Marta,2021,1,0.58
66,001,Risaralda,Pereira,2021,1,0.76
70,001,Sucre,Sincelejo,2021,1,0.67
52,001,Narino,Pasto,2021,1,1.31
68,001,Santander,Bucaramanga,2021,1,0.88
08,001,Atlantico,Barranquilla,2021,1,0.84
13,001,Bolivar,Cartagena,2021,1,0.60
88,001,Archipielago de San Andres,San Andres,2021,1,0.51
44,001,Guajira,Riohacha,2021,2,7.40
54,001,Norte de Santander,Cucuta,2021,2,14.30
27,001,Choco,Quibdo,2021,2,12.69
73,001,Tolima,Ibague,2021,2,17.70
41,001,Huila,Neiva,2021,2,15.53
20,001,Cesar,Valledupar,2021,2,12.01
11,001,Bogota D.C,Bogota D.C,2021,2,16.96
